index,확인용,입출금구분,거래코드,적요,최소금액,최대금액,대분류,분류,적요일련번호,금융회사,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,분류번호,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
71,71,입금,인터넷뱅킹 대량이체,    년　연차수당,"904,000","904,000",소득,급여,,,,,,,,,,,,,,0000년0연차수당,10,당수차연0년0000
82,82,입금,인터넷뱅킹 대량이체,    년연차수당,"400,000","400,000",소득,급여,,,,,,,,,,,,,,0000년연차수당,9,당수차연년0000
107,107,입금,인터넷뱅킹 대량이체,    연차수당,"694,000","3,271,000",소득,급여,,,,,,,,,,,,,,0000연차수당,8,당수차연0000
233,233,입금,인터넷뱅킹 대량이체,  년　연차수당,"335,000","335,000",소득,급여,,,,,,,,,,,,,,00년0연차수당,8,당수차연0년00
247,247,입금,일반대외대량 입금이체,  년분 연차수당,"683,000","3,456,000",소득,급여,,,,,,,,,,,,,,00년분0연차수당,9,당수차연0분년00
264,264,입금,인터넷뱅킹 대량이체,  년연차수당,"7,000","2,663,000",소득,급여,,,,,,,,,,,,,,00년연차수당,7,당수차연년00
287,287,입금,인터넷뱅킹 대량이체,  미사용연차수당,"2,539,000","2,539,000",소득,급여,,,,,,,,,,,,,,00미사용연차수당,9,당수차연용사미00
311,311,입금,인터넷뱅킹 대량이체,  연차수당,"81,000","828,000",소득,급여,,,,,,,,,,,,,,00연차수당,6,당수차연00
475,475,입금,인터넷뱅킹 대량이체,  잔여연차수당,"33,000","33,000",소득,급여,,,,,,,,,,,,,,00잔여연차수당,8,당수차연여잔00
499,499,입금,인터넷뱅킹 대량이체,  ．  　연차수당,"1,963,000","1,963,000",소득,급여,,,,,,,,,,,,,,00．000연차수당,10,당수차연000．00
7002,7002,입금,일반대외대량 입금이체,대한유화연차수당,"2,288,000","8,749,000",소득,급여,,,,,,,,,,,,,,대한유화연차수당,8,당수차연화유한대
7105,7105,입금,인터넷뱅킹 대량이체,도루코연차수당,"3,667,000","3,667,000",소득,급여,,,,,,,,,,,,,,도루코연차수당,7,당수차연코루도
7335,7335,입금,인터넷뱅킹 대량이체,드래곤　연차수당,"3,206,000","4,505,000",소득,급여,,,,,,,,,,,,,,드래곤0연차수당,8,당수차연0곤래드
7427,7427,입금,인터넷뱅킹 대량이체,라이온연차수당,"223,000","3,669,000",입금이체,복리후생비/경비,,,,,,,,,,,,,,라이온연차수당,7,당수차연온이라
7545,7545,입금,인터넷뱅킹 대량이체,리스너＿연차수당,"1,039,000","1,039,000",소득,급여,,,,,,,,,,,,,,리스너＿연차수당,7,당수차연＿너스리
7877,7877,입금,급여 입금이체,물산패션연차수당,"14,000","64,000",소득,급여,,,,,,,,,,,,,,물산패션연차수당,8,당수차연션패산물
7889,7889,입금,인터넷뱅킹 대량이체,미도정업㈜연차수당,"1,699,000","1,699,000",입금이체,복리후생비/경비,,,,,,,,,,,,,,미도정업㈜연차수당,9,당수차연㈜업정도미
7991,7991,입금,급여 입금이체,미사용연차수당,"2,712,000","2,712,000",소득,급여,,,,,,,,,,,,,,미사용연차수당,7,당수차연용사미
11606,11606,입금,급여 입금이체,연차수당, - ,"7,971,000",소득,급여,,,,,,,,,,,,,,연차수당,4,당수차연
11607,11607,입금,인터넷뱅킹 대량이체,연차수당, - ,"7,971,000",소득,급여,,,,,,,,,,,,,,연차수당,4,당수차연
11608,11608,입금,일반대외대량 입금이체,연차수당, - ,"7,971,000",소득,급여,,,,,,,,,,,,,,연차수당,4,당수차연
11609,11609,입금,지로대량급여 입금이체,연차수당, - ,"7,971,000",소득,급여,,,,,,,,,,,,,,연차수당,4,당수차연
11824,11824,입금,인터넷뱅킹 대량이체,올리브영연차수당,"228,000","2,855,000",소득,급여,,,,,,,,,,,,,,올리브영연차수당,8,당수차연영브리올
13090,13090,입금,인터넷뱅킹 대량이체,잔여연차수당,"1,044,000","2,701,000",소득,급여,,,,,,,,,,,,,,잔여연차수당,6,당수차연여잔
