index,확인용,입출금구분,거래코드,적요,최소금액,최대금액,대분류,분류,적요일련번호,금융회사,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,분류번호,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
214,214,입금,인터넷뱅킹 대량이체,  년 월통신비,"50,000","50,000",입금이체,생활비입금,,,,,,,,,,,,,,00년0월통신비,8,비신통월0년00
354,354,입금,인터넷뱅킹 대량이체,  월　통신비,"60,000","164,000",입금이체,생활비입금,,,,,,,,,,,,,,00월0통신비,7,비신통0월00
452,452,입금,인터넷뱅킹 대량이체,  월통신비,"20,000","20,000",입금이체,생활비입금,,,,,,,,,,,,,,00월통신비,6,비신통월00
717,717,입금,인터넷뱅킹 대량이체, 월　통신비, - ,"40,000",입금이체,생활비입금,,,,,,,,,,,,,,0월0통신비,6,비신통0월0
718,718,입금,인터넷뱅킹 대량이체, 월　통신비　및　경,"106,000","106,000",입금이체,생활비입금,,,,,,,,,,,,,,0월0통신비0및0경,10,경0및0비신통0월0
975,975,입금,인터넷뱅킹 대량이체, 월분통신비,"50,000","50,000",입금이체,생활비입금,,,,,,,,,,,,,,0월분통신비,6,비신통분월0
1134,1134,입금,인터넷뱅킹 대량이체, 월통신비, - ,"100,000",입금이체,생활비입금,,,,,,,,,,,,,,0월통신비,5,비신통월0
3905,3905,입금,인터넷뱅킹 대량이체,광장－통신비,"30,000","30,000",입금이체,생활비입금,,,,,,,,,,,,,,광장－통신비,5,비신통－장광
3968,3968,입금,인터넷뱅킹 대량이체,교정기술원통신비,"20,000","20,000",입금이체,생활비입금,,,,,,,,,,,,,,교정기술원통신비,8,비신통원술기정교
4755,4755,입금,펌뱅킹 입금이체,금타통신비지급,"40,000","60,000",입금이체,생활비입금,,,,,,,,,,,,,,금타통신비지급,7,급지비신통타금
9272,9272,입금,인터넷뱅킹 대량이체,새중앙교회통신비, - ,"50,000",입금이체,생활비입금,,,,,,,,,,,,,,새중앙교회통신비,8,비신통회교앙중새
9354,9354,입금,인터넷뱅킹 대량이체,서부　 월　통신비,"40,000","40,000",입금이체,생활비입금,,,,,,,,,,,,,,서부00월0통신비,9,비신통0월00부서
9735,9735,입금,인터넷뱅킹 대량이체,세동통신비,"70,000","70,000",입금이체,생활비입금,,,,,,,,,,,,,,세동통신비,5,비신통동세
9972,9972,입금,인터넷뱅킹 대량이체,수당（통신비）－포디,"50,000","50,000",입금이체,생활비입금,,,,,,,,,,,,,,수당통신비－포디,7,디포－비신통당수
10841,10841,입금,인터넷뱅킹 대량이체,쓰리에스텍통신비,"120,000","120,000",입금이체,생활비입금,,,,,,,,,,,,,,쓰리에스텍통신비,8,비신통텍스에리쓰
11039,11039,입금,인터넷뱅킹 대량이체,아티언스  월통신비,"30,000","50,000",입금이체,생활비입금,,,,,,,,,,,,,,아티언스00월통신비,10,비신통월00스언티아
12341,12341,입금,인터넷뱅킹 대량이체,위드 월통신비,"2,000","2,000",입금이체,생활비입금,,,,,,,,,,,,,,위드0월통신비,7,비신통월0드위
13038,13038,입금,인터넷뱅킹 대량이체,임직원통신비, - ,"70,000",입금이체,생활비입금,,,,,,,,,,,,,,임직원통신비,6,비신통원직임
13209,13209,입금,인터넷뱅킹 대량이체,잼터－통신비,"50,000","50,000",입금이체,생활비입금,,,,,,,,,,,,,,잼터－통신비,5,비신통－터잼
15043,15043,입금,급여 입금이체,통신비, - ,"111,000",입금이체,생활비입금,,,,,,,,,,,,,,통신비,3,비신통
15044,15044,입금,인터넷뱅킹 대량이체,통신비, - ,"111,000",입금이체,생활비입금,,,,,,,,,,,,,,통신비,3,비신통
15045,15045,입금,일반대외대량 입금이체,통신비, - ,"111,000",입금이체,생활비입금,,,,,,,,,,,,,,통신비,3,비신통
15046,15046,입금,펌뱅킹 입금이체,통신비, - ,"111,000",입금이체,생활비입금,,,,,,,,,,,,,,통신비,3,비신통
15047,15047,입금,인터넷뱅킹 대량이체,통신비 월, - ,"100,000",입금이체,생활비입금,,,,,,,,,,,,,,통신비0월,5,월0비신통
15048,15048,입금,인터넷뱅킹 대량이체,통신비　  월분, - ,"72,000",입금이체,생활비입금,,,,,,,,,,,,,,통신비000월분,8,분월000비신통
15049,15049,입금,인터넷뱅킹 대량이체,통신비　 월,"60,000","60,000",입금이체,생활비입금,,,,,,,,,,,,,,통신비00월,6,월00비신통
15051,15051,입금,인터넷뱅킹 대량이체,통신비보조, - ,"20,000",입금이체,생활비입금,,,,,,,,,,,,,,통신비보조,5,조보비신통
15055,15055,입금,인터넷뱅킹 대량이체,통신비휴먼스,"46,000","100,000",입금이체,생활비입금,,,,,,,,,,,,,,통신비휴먼스,6,스먼휴비신통
15056,15056,입금,인터넷뱅킹 대량이체,통신비－（주）리얼러,"30,000","30,000",입금이체,생활비입금,,,,,,,,,,,,,,통신비－（주）리얼러,9,러얼리）주（－비신통
15057,15057,입금,인터넷뱅킹 대량이체,통신비Ｐ＆Ａｌｉｎｋ,"13,000","13,000",입금이체,생활비입금,,,,,,,,,,,,,,통신비Ｐ＆Ａｌｉｎｋ,10,ｋｎｉｌＡ＆Ｐ비신통
15147,15147,입금,인터넷뱅킹 대량이체,특）태평양－통신비,"41,000","41,000",입금이체,생활비입금,,,,,,,,,,,,,,특）태평양－통신비,8,비신통－양평태）특
15186,15186,입금,인터넷뱅킹 대량이체,팀장통신비,"30,000","30,000",입금이체,생활비입금,,,,,,,,,,,,,,팀장통신비,5,비신통장팀
15336,15336,입금,인터넷뱅킹 대량이체,포휴먼통신비,"57,000","57,000",입금이체,생활비입금,,,,,,,,,,,,,,포휴먼통신비,6,비신통먼휴포
16577,16577,입금,인터넷뱅킹 대량이체,혁성실업통신비,"47,000","47,000",입금이체,생활비입금,,,,,,,,,,,,,,혁성실업통신비,7,비신통업실성혁
17979,17979,입금,인터넷뱅킹 대량이체,ＫＬＣＳＭ통신비,"50,000","50,000",입금이체,생활비입금,,,,,,,,,,,,,,ＫＬＣＳＭ통신비,8,비신통ＭＳＣＬＫ
18083,18083,입금,인터넷뱅킹 대량이체,ＮＡＣ통신비,"15,000","30,000",입금이체,생활비입금,,,,,,,,,,,,,,ＮＡＣ통신비,6,비신통ＣＡＮ
18094,18094,입금,인터넷뱅킹 대량이체,ＮＩＴＴＯ통신비,"100,000","100,000",입금이체,생활비입금,,,,,,,,,,,,,,ＮＩＴＴＯ통신비,8,비신통ＯＴＴＩＮ
18261,18261,입금,인터넷뱅킹 대량이체,ＳＴＸ　통신비　지원,"40,000","40,000",입금이체,생활비입금,,,,,,,,,,,,,,ＳＴＸ0통신비0지원,10,원지0비신통0ＸＴＳ
18286,18286,입금,인터넷뱅킹 대량이체,ＵＲＯ통신비,"25,000","50,000",입금이체,생활비입금,,,,,,,,,,,,,,ＵＲＯ통신비,6,비신통ＯＲＵ
44628,44628,지급,타행자동이체-전자금융부,국민-연금통신비, - , - ,금융,4대보험,,,,,,,,,,,,,,국민-연금통신비,7,비신통금연-민국
60629,60629,지급,펌뱅킹 출금이체,무약정통신비,"17,000","17,000",주거/생활,통신비,,,,,,,,,,,,,,무약정통신비,6,비신통정약무
76912,76912,지급,펌뱅킹 출금이체,ＫＴ통신비,"13,000","13,000",주거/생활,통신비,,,,,,,,,,,,,,ＫＴ통신비,5,비신통ＴＫ
