index,확인용,입출금구분,거래코드,적요,최소금액,최대금액,대분류,분류,적요일련번호,금융회사,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,분류번호,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
22,22,입금,인터넷뱅킹 대량이체,      ＿명절（,"150,000","150,000",소득,급여,,,,,,,,,,,,,,000000＿명절（,3,（절명＿000000
27,27,입금,전자뱅킹예약건별이체,    　박종찬,"200,000","200,000",입금이체,개인입금,,,,,,,,,,,,,,00000박종찬,3,찬종박00000
48,48,입금,전자뱅킹예약건별이체,    김륜재,"550,000","550,000",입금이체,개인입금,,,,,,,,,,,,,,0000김륜재,3,재륜김0000
59,59,입금,인터넷뱅킹 대량이체,    년　 월　급,"2,305,000","3,688,000",소득,급여,,,,,,,,,,,,,,0000년00월0급,3,급0월00년0000
60,60,입금,인터넷뱅킹 대량이체,    년　 월　연,"5,217,000","5,217,000",입금이체,기타입금,,,,,,,,,,,,,,0000년00월0연,3,연0월00년0000
61,61,입금,인터넷뱅킹 대량이체,    년　 월　차,"317,000","317,000",입금이체,기타입금,,,,,,,,,,,,,,0000년00월0차,3,차0월00년0000
87,87,입금,전자뱅킹예약건별이체,    부가세, - , - ,입금이체,환급/환불,,,,,,,,,,,,,,0000부가세,3,세가부0000
136,136,입금,인터넷뱅킹 대량이체,    ．  월분급, - , - ,소득,급여,,,,,,,,,,,,,,0000．00월분급,3,급분월00．0000
151,151,입금,인터넷뱅킹 대량이체,   플라워,"1,941,000","1,941,000",입금이체,기타입금,,,,,,,,,,,,,,000플라워,3,워라플000
223,223,입금,인터넷뱅킹 대량이체,  년　구정,"100,000","100,000",소득,급여,,,,,,,,,,,,,,00년0구정,3,정구0년00
253,253,입금,인터넷뱅킹 대량이체,  년소급,"121,000","2,072,000",소득,급여,,,,,,,,,,,,,,00년소급,3,급소년00
262,262,입금,인터넷뱅킹 대량이체,  년연차,"2,357,000","2,357,000",소득,급여,,,,,,,,,,,,,,00년연차,3,차연년00
301,301,입금,인터넷뱅킹 대량이체,  소급분,"11,000","22,000",소득,급여,,,,,,,,,,,,,,00소급분,3,분급소00
302,302,입금,인터넷뱅킹 대량이체,  시간외, - ,"3,481,000",소득,급여,,,,,,,,,,,,,,00시간외,3,외간시00
342,342,입금,인터넷뱅킹 대량이체,  월　수당,"1,235,000","1,235,000",소득,급여,,,,,,,,,,,,,,00월0수당,3,당수0월00
343,343,입금,인터넷뱅킹 대량이체,  월　식대,"7,000","180,000",입금이체,복리후생비/경비,,,,,,,,,,,,,,00월0식대,3,대식0월00
431,431,입금,인터넷뱅킹 대량이체,  월브로,"71,000","1,039,000",입금이체,기타입금,,,,,,,,,,,,,,00월브로,3,로브월00
438,438,입금,인터넷뱅킹 대량이체,  월식대,"125,000","140,000",입금이체,복리후생비/경비,,,,,,,,,,,,,,00월식대,3,대식월00
481,481,입금,인터넷뱅킹 대량이체,  직책급, - ,"700,000",입금이체,복리후생비/경비,,,,,,,,,,,,,,00직책급,3,급책직00
496,496,입금,인터넷뱅킹 대량이체,  － 기　주말,"979,000","979,000",소득,급여,,,,,,,,,,,,,,00－0기0주말,3,말주0기0－00
522,522,입금,인터넷뱅킹 대량이체,  ／  　시크릿,"98,000","98,000",소득,기타소득,,,,,,,,,,,,,,00／000시크릿,3,릿크시000／00
523,523,입금,인터넷뱅킹 대량이체,  ／  　썸데이,"60,000","60,000",소득,기타소득,,,,,,,,,,,,,,00／000썸데이,3,이데썸000／00
528,528,입금,인터넷뱅킹 대량이체,  ／  　ＸＯ－Ｋ,"64,000","64,000",입금이체,기타입금,,,,,,,,,,,,,,00／000ＸＯ－Ｋ,3,Ｋ－ＯＸ000／00
575,575,입금,전자뱅킹예약건별이체, 월 납입,"50,000","50,000",입금이체,기타입금,,,,,,,,,,,,,,0월0납입,3,입납0월0
646,646,입금,인터넷뱅킹 대량이체, 월　부비,"40,000","150,000",입금이체,복리후생비/경비,,,,,,,,,,,,,,0월0부비,3,비부0월0
673,673,입금,인터넷뱅킹 대량이체, 월　시상,"20,000","175,000",소득,기타소득,,,,,,,,,,,,,,0월0시상,3,상시0월0
674,674,입금,인터넷뱅킹 대량이체, 월　식대,"95,000","189,000",입금이체,복리후생비/경비,,,,,,,,,,,,,,0월0식대,3,대식0월0
685,685,입금,인터넷뱅킹 대량이체, 월　육성,"463,000","463,000",입금이체,기타입금,,,,,,,,,,,,,,0월0육성,3,성육0월0
