,확인용,적요,적요일련번호,금융회사,입출금구분,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,거래코드,분류,분류번호,최소금액,최대금액,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
4094,1279,(유)미산 급여,25,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,3291000,3291000,,,,,,(유)미산 급여,7,여급 산미)유(
4182,2685,ENF정기급여,1392,,입금,우리은행,F020,자동입력,,,펌뱅킹 입금이체,급여,DA01,0,6018000,,,,,,ENF정기급여,7,여급기정FNE
4184,2694,GMCOMC급여,1393,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,7325000,7325000,,,,,,GMCOMC급여,8,여급CMOCMG
4186,2701,HTS급여,1397,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,2812000,,,,,,HTS급여,5,여급STH
4189,2715,JSENC급여,1399,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,1615000,2764000,,,,,,JSENC급여,7,여급CNESJ
4191,2755,LH사옥관리급여,1402,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,5701000,6249000,,,,,,LH사옥관리급여,8,여급리관옥사HL
4196,2785,SDC월급여,1408,,입금,우리은행,F020,자동입력,,,지로대량급여 입금이체,급여,DA01,0,9011000,,,,,,SDC월급여,6,여급월CDS
4198,2786,SDP 정기급여,1409,,입금,우리은행,F020,자동입력,,,펌뱅킹 입금이체,급여,DA01,3051000,3051000,,,,,,SDP 정기급여,7,여급기정 PDS
4200,2789,SKPIC(급여),1410,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,4422000,,,,,,SKPIC급여,7,)여급(CIPKS
4203,2796,SY타워급여,1416,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,3595000,3595000,,,,,,SY타워급여,6,여급워타YS
4205,2800,W건설 급여,1417,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,4438000,4438000,,,,,,W건설 급여,5,여급 설건W
4369,3397,가치이룸활동급여,1946,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1145000,2387000,,,,,,가치이룸활동급여,8,여급동활룸이치가
4372,3416,감사원급여,1954,,입금,우리은행,F020,자동입력,,,지로대량급여 입금이체,급여,DA01,0,6300000,,,,,,감사원급여,5,여급원사감
4374,3444,강남대성학원급여,1971,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,6486000,,,,,,강남대성학원급여,8,여급원학성대남강
4376,3448,강남병원급여,1974,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,3222000,,,,,,강남병원급여,6,여급원병남강
4379,3476,강동연세병원급여,1996,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,2005000,,,,,,강동연세병원급여,8,여급원병세연동강
4383,3495,강병현급여,2006,,입금,우리은행,F020,직접입력,,,전자뱅킹예약건별이체,급여,DA01,2479000,2479000,,,,,,강병현급여,5,여급현병강
4386,3521,강서산업（주）급여,2025,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,2512000,3122000,,,,,,강서산업（주）급여,9,여급）주（업산서강
4388,3545,강원청급여,2034,,입금,우리은행,F020,자동입력,,,지로대량급여 입금이체,급여,DA01,0,1804000,,,,,,강원청급여,5,여급청원강
4390,3595,거흥산업월급여,2059,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,3000000,3000000,,,,,,거흥산업월급여,7,여급월업산흥거
4392,3600,건설기업급여,2064,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,2178000,5719000,,,,,,건설기업급여,6,여급업기설건
4396,3606,건정건축급여,2070,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,12063000,,,,,,건정건축급여,6,여급축건정건
4402,3622,경기관광급여,2085,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,0,,,,,,경기관광급여,6,여급광관기경
4404,3624,경기남부급여,2087,,입금,우리은행,F020,자동입력,,,지로대량급여 입금이체,급여,DA01,0,9469000,,,,,,경기남부급여,6,여급부남기경
4410,3685,경동운수급여,2147,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,3782000,3782000,,,,,,경동운수급여,6,여급수운동경
4412,3687,경민대학급여,2149,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,2353000,2353000,,,,,,경민대학급여,6,여급학대민경
4414,3690,경북청급여,2152,,입금,우리은행,F020,자동입력,,,지로대량급여 입금이체,급여,DA01,1951000,4132000,,,,,,경북청급여,5,여급청북경
4416,3704,경안써머텍급여,2162,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,2946000,2946000,,,,,,경안써머텍급여,7,여급텍머써안경
4425,3762,고산공영（주）급여,2207,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,6626000,6626000,,,,,,고산공영（주）급여,9,여급）주（영공산고
4427,3780,고위드 급여,2217,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,2649000,6046000,,,,,,고위드 급여,5,여급 드위고
4429,3784,고진모터스（주）급여,2218,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,3855000,,,,,,고진모터스（주）급여,10,여급）주（스터모진고
4431,3793,골드플러스에셋급여,2225,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,196000,196000,,,,,,골드플러스에셋급여,9,여급셋에스러플드골
4434,3817,공항리무진급여,2244,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,1533000,2744000,,,,,,공항리무진급여,7,여급진무리항공
4436,3818,공항버스급여,2245,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,4589000,,,,,,공항버스급여,6,여급스버항공
4439,3878,광명중앙하이츠급여,2289,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,2384000,2384000,,,,,,광명중앙하이츠급여,9,여급츠이하앙중명광
4443,3888,광장리앤고월급여,2298,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,4003000,7217000,,,,,,광장리앤고월급여,8,여급월고앤리장광
4445,3891,광장복급여,2301,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,40000,,,,,,광장복급여,5,여급복장광
4448,3893,광장월급여,2303,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1000,15278000,,,,,,광장월급여,5,여급월장광
4451,3912,광주보호급여,2317,,입금,우리은행,F020,자동입력,,,지로대량급여 입금이체,급여,DA01,2872000,2872000,,,,,,광주보호급여,6,여급호보주광
4455,3919,광주출입급여,2324,,입금,우리은행,F020,자동입력,,,지로대량급여 입금이체,급여,DA01,2824000,2824000,,,,,,광주출입급여,6,여급입출주광
4457,3931,광진센터급여,2334,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,220000,2368000,,,,,,광진센터급여,6,여급터센진광
4460,3961,교육원급여,2348,,입금,우리은행,F020,자동입력,,,지로대량급여 입금이체,급여,DA01,5359000,6676000,,,,,,교육원급여,5,여급원육교
4462,4012,구세군희망나누미급여,2383,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,2597000,,,,,,구세군희망나누미급여,10,여급미누나망희군세구
4480,4519,국제로타리급여,2857,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,0,,,,,,국제로타리급여,7,여급리타로제국
4483,4528,국토부급여,2866,,입금,우리은행,F020,자동입력,,,지로대량급여 입금이체,급여,DA01,0,7893000,,,,,,국토부급여,5,여급부토국
4487,4530,국표원급여,2868,,입금,우리은행,F020,자동입력,,,지로대량급여 입금이체,급여,DA01,0,2961000,,,,,,국표원급여,5,여급원표국
4489,4547,권용국　급여,2877,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,3738000,3738000,,,,,,권용국　급여,5,여급　국용권
4491,4550,권익위급여,2878,,입금,우리은행,F020,자동입력,,,지로대량급여 입금이체,급여,DA01,0,2271000,,,,,,권익위급여,5,여급위익권
4493,4566,그로우잉　급여,2890,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1223000,1223000,,,,,,그로우잉　급여,6,여급　잉우로그
4495,4567,그리니치급여,2891,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,667000,667000,,,,,,그리니치급여,6,여급치니리그
4497,4573,그린맨파워급여,2896,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,688000,3202000,,,,,,그린맨파워급여,7,여급워파맨린그
4499,4576,그린전자급여,2898,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,2702000,,,,,,그린전자급여,6,여급자전린그
4501,4577,그린코아급여,2899,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,3007000,3007000,,,,,,그린코아급여,6,여급아코린그
4503,4582,그린힐급여,2903,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1697000,1697000,,,,,,그린힐급여,5,여급힐린그
4506,4588,근로복지급여,2908,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,5844000,,,,,,근로복지급여,6,여급지복로근
4514,4602,글로넷엘엠에스급여,2919,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,2770000,4079000,,,,,,글로넷엘엠에스급여,9,여급스에엠엘넷로글
4524,4737,금융위급여,3032,,입금,우리은행,F020,자동입력,,,지로대량급여 입금이체,급여,DA01,0,4697000,,,,,,금융위급여,5,여급위융금
4526,4758,금풍건설급여,3048,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,5091000,,,,,,금풍건설급여,6,여급설건풍금
4528,4768,금호익스급여,3055,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,3417000,3611000,,,,,,금호익스급여,6,여급스익호금
4533,4786,급여,3072,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,56472000,,,,,,급여,2,여급
4534,4787,급여,3073,,입금,우리은행,F020,자동입력,,,상여금 입금이체,급여,DA01,0,56472000,,,,,,급여,2,여급
4535,4788,급여,3074,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,56472000,,,,,,급여,2,여급
4536,4789,급여,3075,,입금,우리은행,F020,자동입력,,,일반대외대량 입금이체,급여,DA01,0,56472000,,,,,,급여,2,여급
4537,4790,급여,3076,,입금,우리은행,F020,자동입력,,,전자뱅킹예약건별이체,급여,DA01,0,56472000,,,,,,급여,2,여급
4538,4791,급여,3077,,입금,우리은행,F020,자동입력,,,지로대량급여 입금이체,급여,DA01,0,56472000,,,,,,급여,2,여급
4539,4792,급여,3078,,입금,우리은행,F020,자동입력,,,펌뱅킹 입금이체,급여,DA01,0,56472000,,,,,,급여,2,여급
4540,4794,급여  　,3079,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,2894000,7584000,,,,,,급여,2,　  여급
4542,4800,급여 (주)더골든트리,3080,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,2962000,,,,,,급여 (주)더골든트리,10,리트든골더)주( 여급
4544,4801,급여 (주)태영켐,3081,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,2183000,3216000,,,,,,급여 (주)태영켐,8,켐영태)주( 여급
4548,4803,급여 맛죤푸드지점,3083,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,1987000,1987000,,,,,,급여 맛죤푸드지점,8,점지드푸죤맛 여급
4552,4806,급여 원진성형외과,3085,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,2963000,,,,,,급여 원진성형외과,8,과외형성진원 여급
4554,4812,급여 주식회사 더베이,3086,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,1932000,3910000,,,,,,급여 주식회사 더베이,9,이베더 사회식주 여급
4558,4814,급여(GPC한국),3088,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,0,,,,,,급여GPC한국,7,)국한CPG(여급
4560,4815,급여(남해단),3089,,입금,우리은행,F020,자동입력,,,지로대량급여 입금이체,급여,DA01,2548000,2548000,,,,,,급여남해단,5,)단해남(여급
4562,4816,급여(사)인천밀알,3090,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,1274000,1476000,,,,,,급여(사)인천밀알,9,알밀천인)사(여급
4564,4817,급여(유)동아금속,3091,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,2502000,7795000,,,,,,급여(유)동아금속,9,속금아동)유(여급
4566,4818,급여(주)금하테크,3092,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,3669000,5734000,,,,,,급여(주)금하테크,9,크테하금)주(여급
4568,4819,급여(주)기쁜,3093,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,7906000,7906000,,,,,,급여(주)기쁜,7,쁜기)주(여급
4570,4820,급여(주)대림,3094,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,1000,10051000,,,,,,급여(주)대림,7,림대)주(여급
4572,4821,급여(주)도우인시스,3095,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,8574000,,,,,,급여(주)도우인시스,10,스시인우도)주(여급
4574,4822,급여(주)로킷헬스케어,3096,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,4325000,6812000,,,,,,급여(주)로킷헬스케어,11,어케스헬킷로)주(여급
4576,4823,급여(주)리더스시스템,3097,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,0,,,,,,급여(주)리더스시스템,11,템스시스더리)주(여급
4578,4824,급여(주)모먼츠컴퍼니,3098,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,3796000,3796000,,,,,,급여(주)모먼츠컴퍼니,11,니퍼컴츠먼모)주(여급
4580,4825,급여(주)버드뷰,3099,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,7716000,7716000,,,,,,급여(주)버드뷰,8,뷰드버)주(여급
4582,4828,급여(주)영윤이에프,3100,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,3693000,,,,,,급여(주)영윤이에프,10,프에이윤영)주(여급
4584,4829,급여(주)오른,3101,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,1793000,5873000,,,,,,급여(주)오른,7,른오)주(여급
4586,4830,급여(주)티맥스에듀,3102,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,0,,,,,,급여(주)티맥스에듀,10,듀에스맥티)주(여급
4588,4832,급여(주)티맥스핀테크,3103,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,2741000,2741000,,,,,,급여(주)티맥스핀테크,11,크테핀스맥티)주(여급
4590,4833,급여(주)한창바이오텍,3104,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,3043000,3043000,,,,,,급여(주)한창바이오텍,11,텍오이바창한)주(여급
4592,4834,급여)바이오임텍,3105,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,1000,1000,,,,,,급여)바이오임텍,8,텍임오이바)여급
4594,4835,"급여,(주)아발론교육",3106,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,1000,2255000,,,,,,"급여,(주)아발론교육",11,"육교론발아)주(,여급"
4598,4840,급여NIPA,3108,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,1930000,4528000,,,,,,급여NIPA,6,APIN여급
4600,4841,급여_건강보험,3109,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,429000,429000,,,,,,급여_건강보험,6,험보강건_여급
4602,4842,급여_국제서부지사,3110,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,674000,,,,,,급여_국제서부지사,8,사지부서제국_여급
4606,4844,급여_캐럿글로벌,3112,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,445000,3065000,,,,,,급여_캐럿글로벌,7,벌로글럿캐_여급
4608,4848,급여　㈜링티,3113,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,2107000,2107000,,,,,,급여　㈜링티,5,티링㈜　여급
4610,4849,급여　㈜유카,3114,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,4802000,4802000,,,,,,급여　㈜유카,5,카유㈜　여급
4612,4850,급여　㈜지노프로,3115,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,4218000,,,,,,급여　㈜지노프로,7,로프노지㈜　여급
4614,4851,급여　㈜한국환경기술,3116,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,4322000,4322000,,,,,,급여　㈜한국환경기술,9,술기경환국한㈜　여급
4616,4853,급여　대일기업,3117,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1821000,1821000,,,,,,급여　대일기업,6,업기일대　여급
4618,4854,급여　두리씨앤에스,3118,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1236000,1236000,,,,,,급여　두리씨앤에스,8,스에앤씨리두　여급
4620,4855,급여　비앤지,3119,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1823000,1835000,,,,,,급여　비앤지,5,지앤비　여급
4622,4856,급여　삼성생명당산,3120,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,114000,114000,,,,,,급여　삼성생명당산,8,산당명생성삼　여급
4624,4857,급여　서울디지털에듀,3121,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1595000,1641000,,,,,,급여　서울디지털에듀,9,듀에털지디울서　여급
4626,4858,급여　성화물산,3122,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,3237000,,,,,,급여　성화물산,6,산물화성　여급
4628,4860,급여　에스비사이버,3123,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1632000,1632000,,,,,,급여　에스비사이버,8,버이사비스에　여급
4632,4862,급여　오토소프트,3125,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,2160000,2160000,,,,,,급여　오토소프트,7,트프소토오　여급
4636,4865,급여　제이팩트레이딩,3127,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,3221000,3221000,,,,,,급여　제이팩트레이딩,9,딩이레트팩이제　여급
4638,4866,급여　주안장로교회,3128,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1140000,3308000,,,,,,급여　주안장로교회,8,회교로장안주　여급
4640,4867,급여　케이조선,3129,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,8815000,,,,,,급여　케이조선,6,선조이케　여급
4642,4868,급여　토크서비스,3130,,입금,우리은행,F020,자동입력,,,전자뱅킹예약건별이체,급여,DA01,1697000,1697000,,,,,,급여　토크서비스,7,스비서크토　여급
4644,4869,급여　하이퍼라운지,3131,,입금,우리은행,F020,자동입력,,,전자뱅킹예약건별이체,급여,DA01,3842000,3842000,,,,,,급여　하이퍼라운지,8,지운라퍼이하　여급
4648,4872,급여　ＳＣ엔지니어링,3133,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,0,,,,,,급여　ＳＣ엔지니어링,9,링어니지엔ＣＳ　여급
4650,4873,급여㈜건설타워,3134,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,7779000,,,,,,급여㈜건설타워,7,워타설건㈜여급
4652,4874,급여㈜광장오토모티브,3135,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,3781000,,,,,,급여㈜광장오토모티브,10,브티모토오장광㈜여급
4654,4875,급여㈜블루스카이통신,3136,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,0,,,,,,급여㈜블루스카이통신,10,신통이카스루블㈜여급
4656,4876,급여㈜스패너,3137,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,2917000,2917000,,,,,,급여㈜스패너,6,너패스㈜여급
4658,4877,급여㈜아시안하이웨이,3138,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1034000,1034000,,,,,,급여㈜아시안하이웨이,10,이웨이하안시아㈜여급
4660,4879,급여㈜이와이드플,3139,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,3017000,6458000,,,,,,급여㈜이와이드플,8,플드이와이㈜여급
4662,4880,급여㈜케이디캠,3140,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1000000,1000000,,,,,,급여㈜케이디캠,7,캠디이케㈜여급
4664,4881,급여㈜한설그린,3141,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,4204000,4204000,,,,,,급여㈜한설그린,7,린그설한㈜여급
4666,4882,급여거산전자통신,3142,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,3734000,3734000,,,,,,급여거산전자통신,8,신통자전산거여급
4668,4883,급여경기드림,3143,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,2399000,2399000,,,,,,급여경기드림,6,림드기경여급
4670,4884,급여경남청,3144,,입금,우리은행,F020,자동입력,,,지로대량급여 입금이체,급여,DA01,0,6225000,,,,,,급여경남청,5,청남경여급
4672,4886,급여경찰청,3145,,입금,우리은행,F020,자동입력,,,지로대량급여 입금이체,급여,DA01,2298000,3986000,,,,,,급여경찰청,5,청찰경여급
4674,4888,급여고려강선,3146,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,3148000,3745000,,,,,,급여고려강선,6,선강려고여급
4676,4889,급여고려강선양산,3147,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,3440000,,,,,,급여고려강선양산,8,산양선강려고여급
4678,4890,급여고려특수선재,3148,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,1339000,8854000,,,,,,급여고려특수선재,8,재선수특려고여급
4680,4891,급여고양시재활스포츠,3149,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,0,,,,,,급여고양시재활스포츠,10,츠포스활재시양고여급
4682,4892,급여관악구관리공단,3150,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,2305000,,,,,,급여관악구관리공단,9,단공리관구악관여급
4684,4893,급여권선자이,3151,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,2095000,2095000,,,,,,급여권선자이,6,이자선권여급
4686,4894,급여금호석유화학（주,3152,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,2688000,,,,,,급여금호석유화학（주,10,주（학화유석호금여급
4688,4895,급여금화피에스시,3153,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,5188000,,,,,,급여금화피에스시,8,시스에피화금여급
4690,4896,급여기마테크,3154,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,4715000,4715000,,,,,,급여기마테크,6,크테마기여급
4692,4897,급여김영진,3155,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,3000000,3000000,,,,,,급여김영진,5,진영김여급
4694,4900,급여나이스컨설팅,3156,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,733000,733000,,,,,,급여나이스컨설팅,8,팅설컨스이나여급
4698,4906,급여노고감사,3158,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1050000,1050000,,,,,,급여노고감사,6,사감고노여급
4700,4907,급여다카라코리아,3159,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,3131000,3131000,,,,,,급여다카라코리아,8,아리코라카다여급
4702,4908,급여대량이체,3160,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,3238000,,,,,,급여대량이체,6,체이량대여급
4704,4909,급여대림대학교,3161,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,5849000,,,,,,급여대림대학교,7,교학대림대여급
4706,4910,급여대전청,3162,,입금,우리은행,F020,자동입력,,,지로대량급여 입금이체,급여,DA01,4753000,4753000,,,,,,급여대전청,5,청전대여급
4708,4911,급여대학생선교회,3163,,입금,우리은행,F020,자동입력,,,CMS공동망 입금이체,급여,DA01,0,2194000,,,,,,급여대학생선교회,8,회교선생학대여급
4710,4914,급여더마인드,3164,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,2257000,14407000,,,,,,급여더마인드,6,드인마더여급
4712,4915,급여더베스트윌,3165,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,2891000,2891000,,,,,,급여더베스트윌,7,윌트스베더여급
4714,4916,급여더원신경외과,3166,,입금,우리은행,F020,자동입력,,,전자뱅킹예약건별이체,급여,DA01,1896000,1896000,,,,,,급여더원신경외과,8,과외경신원더여급
4716,4917,급여델파이파워트레인,3167,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,8193000,,,,,,급여델파이파워트레인,10,인레트워파이파델여급
4718,4918,급여동아환경,3168,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,3130000,3358000,,,,,,급여동아환경,6,경환아동여급
4720,4919,급여동원대학,3169,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,4037000,,,,,,급여동원대학,6,학대원동여급
4722,4920,급여동탄성심병원,3170,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,2673000,2673000,,,,,,급여동탄성심병원,8,원병심성탄동여급
4726,4922,급여두산공작기,3172,,입금,우리은행,F020,자동입력,,,펌뱅킹 입금이체,급여,DA01,1351000,1351000,,,,,,급여두산공작기,7,기작공산두여급
4728,4923,급여두산산업차량,3173,,입금,우리은행,F020,자동입력,,,펌뱅킹 입금이체,급여,DA01,0,8294000,,,,,,급여두산산업차량,8,량차업산산두여급
4730,4924,급여디아이웨어,3174,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,2997000,4737000,,,,,,급여디아이웨어,7,어웨이아디여급
4734,4930,급여미준물산,3176,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,2281000,5600000,,,,,,급여미준물산,6,산물준미여급
