,확인용,적요,적요일련번호,금융회사,입출금구분,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,거래코드,분류,분류번호,최소금액,최대금액,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
4202,2790,SKPIC(상여),1411,,입금,우리은행,F020,자동입력,,,상여금 입금이체,급여,DA01,4475000,4475000,,,,,,SKPIC상여,7,)여상(CIPKS
4381,3477,강동연세병원상여,1997,,입금,우리은행,F020,자동입력,,,상여금 입금이체,급여,DA01,100000,100000,,,,,,강동연세병원상여,8,여상원병세연동강
4516,4614,금강쿼츠상여,2929,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,50000,50000,,,,,,금강쿼츠상여,6,여상츠쿼강금
5226,6636,다원엠앤이상여,4429,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1059000,1059000,,,,,,다원엠앤이상여,7,여상이앤엠원다
5308,7001,대한유화상여,4753,,입금,우리은행,F020,자동입력,,,상여금 입금이체,급여,DA01,1972000,13984000,,,,,,대한유화상여,6,여상화유한대
5392,7255,동일기술공사상여,4968,,입금,우리은행,F020,자동입력,,,상여금 입금이체,급여,DA01,3108000,3435000,,,,,,동일기술공사상여,8,여상사공술기일동
5468,7464,레인보우상여,5137,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1574000,1574000,,,,,,레인보우상여,6,여상우보인레
5583,7875,물산패션상여,5439,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,5491000,,,,,,물산패션상여,6,여상션패산물
5813,9446,서울약업상여,6337,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,200000,200000,,,,,,서울약업상여,6,여상업약울서
5917,9713,성원여객상여,6547,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1354000,1727000,,,,,,성원여객상여,6,여상객여원성
5923,9745,세명이엔지상여,6571,,입금,우리은행,F020,자동입력,,,상여금 입금이체,급여,DA01,3867000,4026000,,,,,,세명이엔지상여,7,여상지엔이명세
5949,9852,소급급상여,6655,,입금,우리은행,F020,자동입력,,,상여금 입금이체,급여,DA01,888000,888000,,,,,,소급급상여,5,여상급급소
6058,10843,쓰리에스포유　상여,7453,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,0,,,,,,쓰리에스포유　상여,8,여상　유포스에리쓰
6312,12014,우양상선㈜＿상여,8306,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1000000,1000000,,,,,,우양상선㈜＿상여,7,여상＿㈜선상양우
6563,12336,위니아전자상여,8578,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,241000,656000,,,,,,위니아전자상여,7,여상자전아니위
6574,12359,위펀딩하반기상여,8598,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,455000,455000,,,,,,위펀딩하반기상여,8,여상기반하딩펀위
6589,12425,유앤파트너상여,8636,,입금,우리은행,F020,자동입력,,,상여금 입금이체,급여,DA01,2172000,2172000,,,,,,유앤파트너상여,7,여상너트파앤유
6614,12606,이든네이처　상여,8726,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1100000,1100000,,,,,,이든네이처　상여,7,여상　처이네든이
6693,12948,일동제약　상여,8895,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1151000,1418000,,,,,,일동제약　상여,6,여상　약제동일
6716,13065,자광홀딩스상여,8974,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1500000,1500000,,,,,,자광홀딩스상여,7,여상스딩홀광자
6828,13482,제일베어링상여,9233,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,6674000,6674000,,,,,,제일베어링상여,7,여상링어베일제
6869,13634,주나스테크 월상여,9326,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,855000,1182000,,,,,,주나스테크 월상여,8,여상월 크테스나주
6942,14297,진양화학상여,9911,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,848000,848000,,,,,,진양화학상여,6,여상학화양진
6966,14368,창립기념상여,9966,,입금,우리은행,F020,자동입력,,,전자뱅킹예약건별이체,급여,DA01,0,0,,,,,,창립기념상여,6,여상념기립창
7050,14732,코레일관광상여,10216,,입금,우리은행,F020,자동입력,,,상여금 입금이체,급여,DA01,303000,1130000,,,,,,코레일관광상여,7,여상광관일레코
7100,14978,태남생활건강㈜상여,10351,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,2208000,2208000,,,,,,태남생활건강㈜상여,9,여상㈜강건활생남태
7243,15377,프레스에이상여,10670,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,992000,992000,,,,,,프레스에이상여,7,여상이에스레프
7586,17729,ＡＤＤ　전반기　상여,12448,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,400000,400000,,,,,,ＡＤＤ　전반기　상여,8,여상　기반전　ＤＤＡ
7685,18270,ＴＤＫ　상여,12655,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,45000,1125000,,,,,,ＴＤＫ　상여,5,여상　ＫＤＴ
