,확인용,적요,적요일련번호,금융회사,입출금구분,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,거래코드,분류,분류번호,최소금액,최대금액,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
55690,42126,경남-급여 경남,13966,,출금,우리은행,F020,직접입력,,,타행자동이체-전자금융부,급여지급,EI03,0,0,,,,,,경남-급여 경남,6,남경 여급-남경
4441,3886,광양테크급여♡,2296,,입금,우리은행,F020,직접입력,,,인터넷뱅킹 대량이체,급여,DA01,11930000,11930000,,,,,,광양테크급여♡,7,♡여급크테양광
5174,5801,내과의국급여공제,3670,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,2010000,2010000,,,,,,내과의국급여공제,8,제공여급국의과내
5254,6681,대광급여（ 월）,4469,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,2141000,2411000,,,,,,대광급여 월,5,）월 （여급광대
5782,9291,생보급여서울ＳＦＡ,6214,,입금,우리은행,F020,자동입력,,,전자뱅킹예약건별이체,급여,DA01,1000,5740000,,,,,,생보급여서울ＳＦＡ,9,ＡＦＳ울서여급보생
5918,9737,세림급여ＯＴ,6565,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,700000,3486000,,,,,,세림급여ＯＴ,6,ＴＯ여급림세
5967,9913,솔루파인　급여／감사,6694,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,0,,,,,,솔루파인　급여／감사,9,사감／여급　인파루솔
5985,10091,스칸폼급여　본사,6813,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,2221000,2221000,,,,,,스칸폼급여　본사,7,사본　여급폼칸스
5987,10092,스칸폼급여　판교,6814,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,0,,,,,,스칸폼급여　판교,7,교판　여급폼칸스
6590,12426,유엔　급여　  ．,8637,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,2375000,2375000,,,,,,유엔　급여　  ．,5,．  　여급　엔유
6619,12631,이명호 급여　정산,8743,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,988000,988000,,,,,,이명호 급여　정산,7,산정　여급 호명이
6982,14418,청목안양급여인상분,10007,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,679000,679000,,,,,,청목안양급여인상분,9,분상인여급양안목청
63327,58591,대구월급여김　　주,28222,우리은행,출금,우리은행,F020,직접입력,,,전자뱅킹예약건별이체,급여지급,EI03,244000,244000,,,,,,대구월급여김　　주,7,주　　김여급월구대
