,확인용,적요,적요일련번호,금융회사,입출금구분,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,거래코드,분류,분류번호,최소금액,최대금액,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
52722,65099,불국토　　,33766,,출금,우리은행,F020,자동입력,,,CMS공동망 출금이체,기부,EI01,0,66000,,,,,,불국토,3,　　토국불
62046,16541,해피 　,11466,우리은행,입금,우리은행,F020,자동입력,,,전자뱅킹예약건별이체,기타입금,DC11,430000,430000,,,,,,해피,2,　 피해
60949,8759,사회복지법인상금　,5907,우리은행,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,기타소득,DA06,1013000,1318000,,,,,,사회복지법인상금,8,　금상인법지복회사
46161,13459,제이에치인터내셔날　,9215,,입금,우리은행,F020,회사명,,,전자뱅킹예약건별이체,회사입금,DC02,1000,1000,,,,,,제이에치인터내셔날,9,　날셔내터인치에이제
63009,53214,나드리　,23273,우리은행,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,기타출금,EH04,0,200000,,,,,,나드리,3,　리드나
58770,57441,농협시댁계비　,27191,,출금,우리은행,F020,직접입력,,,전자뱅킹예약건별이체,모임비,EH03,20000,20000,,,,,,농협시댁계비,6,　비계댁시협농
52630,64589,봉녕사　,33306,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,기부,EI01,30000,30000,,,,,,봉녕사,3,　사녕봉
51753,48222,금룡사　,19284,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,기부,EI01,10000,10000,,,,,,금룡사,3,　사룡금
44854,8404,본도시락　프로모션　,5652,,입금,우리은행,F020,회사명,,,인터넷뱅킹 대량이체,회사입금,DC02,480000,480000,,,,,,본도시락　프로모션,8,　션모로프　락시도본
48385,53907,노비타　,23897,,출금,우리은행,F020,회사명,,,펌뱅킹 출금이체,회사출금,EI05,17000,20000,,,,,,노비타,3,　타비노
61657,14150,쥬씨　모바일쿠폰　,9791,우리은행,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,페이백,DB04,0,101000,,,,,,쥬씨　모바일쿠폰,7,　폰쿠일바모　씨쥬
59832,69650,수협　,37872,,출금,우리은행,F020,직접입력,,,CMS공동망 출금이체,금융지출,EA07,0,1993000,,,,,,수협,2,　협수
6002,10138,시간외수당（,6854,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,26000,26000,,,,,,시간외수당（,6,（당수외간시
52179,58584,대구신천역까사밀라(,28215,,출금,우리은행,F020,직접입력,,,전자뱅킹예약건별이체,기부,EI01,80000,80000,,,,,,대구신천역까사밀라(,10,(라밀사까역천신구대
