index,확인용,입출금구분,거래코드,적요,최소금액,최대금액,대분류,분류,적요일련번호,금융회사,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,분류번호,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
1307,1307,입금,인터넷뱅킹 대량이체,(주) 더나은교육,"7,204,000","7,204,000",입금이체,회사입금,,,,,,,,,,,,,,(주)0더나은교육,9,육교은나더0)주(
1308,1308,입금,인터넷뱅킹 대량이체,(주) 이든,"44,000","44,000",입금이체,회사입금,,,,,,,,,,,,,,(주)0이든,6,든이0)주(
1309,1309,입금,인터넷뱅킹 대량이체,(주) 케이디로지스, - ,"7,080,000",입금이체,회사입금,,,,,,,,,,,,,,(주)0케이디로지스,10,스지로디이케0)주(
1310,1310,입금,인터넷뱅킹 대량이체,(주)AK로지스틱스,"264,000","440,000",입금이체,회사입금,,,,,,,,,,,,,,(주)AK로지스틱스,10,스틱스지로KA)주(
1311,1311,입금,어음만기입금,(주)DAS,"10,441,000","10,441,000",입금이체,회사입금,,,,,,,,,,,,,,(주)DAS,6,SAD)주(
1312,1312,입금,펌뱅킹 입금이체,(주)DB하이텍, - ,"24,298,000",입금이체,회사입금,,,,,,,,,,,,,,(주)DB하이텍,8,텍이하BD)주(
1313,1313,입금,펌뱅킹 입금이체,(주)E, - ,"16,269,000",입금이체,회사입금,,,,,,,,,,,,,,(주)E,4,E)주(
1314,1314,입금,인터넷뱅킹 대량이체,(주)GS스포츠, - ,"6,535,000",입금이체,회사입금,,,,,,,,,,,,,,(주)GS스포츠,8,츠포스SG)주(
1315,1315,입금,급여 입금이체,(주)K.W.E 코리아,"2,162,000","16,046,000",입금이체,회사입금,,,,,,,,,,,,,,(주)K.W.E0코리아,12,아리코0E.W.K)주(
1316,1316,입금,어음만기입금,(주)LF,"12,310,000","12,310,000",입금이체,회사입금,,,,,,,,,,,,,,(주)LF,5,FL)주(
1317,1317,입금,급여 입금이체,(주)SIS캐나다,"1,841,000","1,841,000",입금이체,회사입금,,,,,,,,,,,,,,(주)SIS캐나다,9,다나캐SIS)주(
1318,1318,입금,인터넷뱅킹 대량이체,(주)가겐투안,"636,000","636,000",입금이체,회사입금,,,,,,,,,,,,,,(주)가겐투안,7,안투겐가)주(
1319,1319,입금,인터넷뱅킹 대량이체,(주)가든파이브라이프,"117,000","5,261,000",입금이체,회사입금,,,,,,,,,,,,,,(주)가든파이브라이프,11,프이라브이파든가)주(
1320,1320,입금,인터넷뱅킹 대량이체,(주)가람산업,"660,000","660,000",입금이체,회사입금,,,,,,,,,,,,,,(주)가람산업,7,업산람가)주(
1321,1321,입금,인터넷뱅킹 대량이체,(주)가온제이에스건설,"197,000","197,000",입금이체,회사입금,,,,,,,,,,,,,,(주)가온제이에스건설,11,설건스에이제온가)주(
1322,1322,입금,인터넷뱅킹 대량이체,(주)가우디자인,"3,146,000","3,293,000",입금이체,회사입금,,,,,,,,,,,,,,(주)가우디자인,8,인자디우가)주(
1323,1323,입금,인터넷뱅킹 대량이체,(주)갑을상사,"3,513,000","4,965,000",입금이체,회사입금,,,,,,,,,,,,,,(주)갑을상사,7,사상을갑)주(
1324,1324,입금,인터넷뱅킹 대량이체,(주)강원심층수,"3,000","142,000",입금이체,회사입금,,,,,,,,,,,,,,(주)강원심층수,8,수층심원강)주(
1325,1325,입금,인터넷뱅킹 대량이체,(주)거흥산업, - ,"1,320,000",입금이체,회사입금,,,,,,,,,,,,,,(주)거흥산업,7,업산흥거)주(
