index,확인용,입출금구분,거래코드,적요,최소금액,최대금액,대분류,분류,적요일련번호,금융회사,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,분류번호,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
3453,3453,입금,재정자금전자이체,강남세무서, - ,"59,669,000",입금이체,환급/환불,,,,,,,,,,,,,,강남세무서,5,서무세남강
3474,3474,입금,재정자금전자이체,강동세무서, - ,"10,101,000",입금이체,환급/환불,,,,,,,,,,,,,,강동세무서,5,서무세동강
3487,3487,입금,재정자금전자이체,강릉세무서, - ,"48,205,000",입금이체,환급/환불,,,,,,,,,,,,,,강릉세무서,5,서무세릉강
3523,3523,입금,재정자금전자이체,강서세무서, - ,"15,560,000",입금이체,환급/환불,,,,,,,,,,,,,,강서세무서,5,서무세서강
3594,3594,입금,재정자금전자이체,거창세무서, - ,"1,350,000",입금이체,환급/환불,,,,,,,,,,,,,,거창세무서,5,서무세창거
3623,3623,입금,재정자금전자이체,경기광주세무서, - ,"10,728,000",입금이체,환급/환불,,,,,,,,,,,,,,경기광주세무서,7,서무세주광기경
3700,3700,입금,재정자금전자이체,경산세무서, - ,"12,000",입금이체,환급/환불,,,,,,,,,,,,,,경산세무서,5,서무세산경
3727,3727,입금,재정자금전자이체,경주세무서, - ,"2,083,000",입금이체,환급/환불,,,,,,,,,,,,,,경주세무서,5,서무세주경
3730,3730,입금,재정자금전자이체,계양　세무서　　　　, - ,"1,131,000",입금이체,환급/환불,,,,,,,,,,,,,,계양0세무서0000,5,0000서무세0양계
3766,3766,입금,재정자금전자이체,고양세무서, - ,"8,344,000",입금이체,환급/환불,,,,,,,,,,,,,,고양세무서,5,서무세양고
3814,3814,입금,재정자금전자이체,공주세무서, - ,"1,027,000",입금이체,환급/환불,,,,,,,,,,,,,,공주세무서,5,서무세주공
3858,3858,입금,재정자금전자이체,관악세무서, - ,"27,032,000",입금이체,환급/환불,,,,,,,,,,,,,,관악세무서,5,서무세악관
3874,3874,입금,재정자금전자이체,광명세무서, - ,"25,459,000",입금이체,환급/환불,,,,,,,,,,,,,,광명세무서,5,서무세명광
3882,3882,입금,재정자금전자이체,광산세무서　　　　　, - ,"3,735,000",입금이체,환급/환불,,,,,,,,,,,,,,광산세무서00000,5,00000서무세산광
