id,col_table,col_mean,col_name,col_types,col_explain,code,col_remake
1,CI_INFO,정보주체(CI),ci_num,VARCHAR,,,
2,CI_INFO,연령,ci_age,INT,CI의 연령,,
3,CI_INFO,성별,ci_gender,VARCHAR,CI의 성별,C001,
4,CI_INFO,내외국인구분,kor_types,VARCHAR,CI 내외국인 구분 코드,C002,
5,ACCOUNT_TRANS,계좌번호,account_num,TEXT,CI의 계좌번호,,
6,ACCOUNT_TRANS,금융기관코드,account_org_code,VARCHAR,금융기관코드,C006,
7,ACCOUNT_TRANS,통화코드,account_currency_code,VARCHAR,해당 계좌번호에 적용된 통화코드 (ISO 4217 준용),C003,
8,ACCOUNT_TRANS,거래일시 또는 거래일자,account_trans_dtime,DATETIME,"거래가 일어난 날짜와 시간(YYYYMMDDhhmmss)
- 시각정보가 없는 경우 거래일자인 YYYYMMDD 회신(일부 기관의 경우 거래일자 + 거래번호로 관리)",,
9,ACCOUNT_TRANS,거래유형(코드),account_trans_type,VARCHAR,"	거래의 유형 구분",C004,
10,ACCOUNT_TRANS,거래구분,trans_class,TEXT,"해당 거래의 구분
(예 : 창구, 인터넷뱅킹, ATM 등)
- 텍스트로 전송",,
11,ACCOUNT_TRANS,거래금액,account_trans_amt,INT,해당 계좌에서 일어난 거래의 금액,,
12,ACCOUNT_TRANS,거래 후 잔액,account_balance_amt,INT,거래가 일어난 후 잔액,,
13,ACCOUNT_TRANS,적요,account_trans_memo,LONGTEXT,"계좌입출금 거래 관련 수취·송금인 계좌·성명·메모 등이 기록된 정보로서 정보주체가 직접 기록한 내용
(자동 입력에 의한 정보 포함)
- 정보주체가 전송요구 시 적요 정보를 전송요구한 경우 
(정보제공-공통-002 is_consent_trans_memo='true')
회신하고, 그렇지 않은 경우 미회신",,
14,ACCOUNT_TRANS,고객구분,customer_types,VARCHAR,"개인, 기업, 기타",C005,
15,ACCOUNT_TRANS,거래상대 기관코드,other_org_code,VARCHAR,"거래가 발생했을 때 상대 계좌번호의 금융 기관 코드
지원 API로부터 배포되는 기관코드 중 앞 2자리를 제외한 8자리
- 기관코드는 업권코드(2자리), 대표기관코드(4자리), 지점코드(4자리)",C006,
16,ACCOUNT_TRANS,거래상대 계좌번호,other_account_num,TEXT,거래가 발생했을 때 상대 계좌번호,,
17,ACCOUNT_TRANS,거래구분코드,trans_class_code,VARCHAR,"당행, 타행, 오픈뱅킹, ATM, 자동이체 등",C007,
18,ACCOUNT_TRANS,디바이스정보,device_types,VARCHAR,거래가 발생했을 때 디바이스 정보,C008,
19,ACCOUNT_TRANS,당타행구분코드,org_types,VARCHAR,"당행, 타행 거래 구분 코드",C009,
20,ACCOUNT_TRANS,본인계좌구분코드,my_account_code,VARCHAR,"해당 거래상대 식별값이 정보주체 본인 소유가 확인된 경우, 
본인 계좌 확인 코드",C010,
