BANK,CODE,VALUE,MEAN,REMARK
URI,0,펌뱅킹 출금이체,펌뱅킹 출금이체,
URI,0,CMS공동망 출금이체,CMS공동망 출금이체,
URI,0,지로대량급여 입금이체,지로대량급여 입금이체,
URI,0,우리카드대금출금,우리카드대금출금,
URI,0,예금이자원가,예금이자원가,
URI,0,펌뱅킹 입금이체,펌뱅킹 입금이체,
URI,0,전자금융 수수료처리,전자금융 수수료처리,
URI,0,지로 출금이체,지로 출금이체,
URI,0,인터넷뱅킹 대량이체,인터넷뱅킹 대량이체,
URI,0,수신입금예약,수신입금예약,
URI,0,수신해지예약-자동이체팀,수신해지예약-자동이체팀,
URI,0,여신이자수입,여신이자수입,
URI,0,PG(전자상거래)출금미완료처리,PG(전자상거래)출금미완료처리,
URI,0,AMA 입금 SWING C/C 처리-수신팀,AMA 입금 SWING C/C 처리-수신팀,
URI,0,급여 입금이체,급여 입금이체,
URI,0,신용카드 이용대금 자동회수,신용카드 이용대금 자동회수,
URI,0,수익증권입금,수익증권입금,
URI,0,납부자자동 출금이체,납부자자동 출금이체,
URI,0,퇴직연금 적립이체-수신팀,퇴직연금 적립이체-수신팀,
URI,0,전자뱅킹예약건별이체,전자뱅킹예약건별이체,
URI,0,한전 출금이체 서비스,한전 출금이체 서비스,
URI,0,일반대출일괄실행,일반대출일괄실행,
URI,0,이자지급,이자지급,
URI,0,어음만기입금,어음만기입금,
URI,0,일반대외대량 입금이체,일반대외대량 입금이체,
URI,0,후불교통체크카드 결제 정산  다원화-카드서비스부,후불교통체크카드 결제 정산  다원화-카드서비스부,
URI,0,납부자자동 입금이체,납부자자동 입금이체,
URI,0,우리카드 할부리스 대금출금-카드부,우리카드 할부리스 대금출금-카드부,
URI,0,일괄보증서보증료수입,일괄보증서보증료수입,
URI,0,외화계좌 체크카드 해외이용대금 출금,외화계좌 체크카드 해외이용대금 출금,
URI,0,아파트관리비 출금이체,아파트관리비 출금이체,
URI,0,수신지급예약,수신지급예약,
URI,0,CMS공동망 당일출금이체-전자금융팀,CMS공동망 당일출금이체-전자금융팀,
URI,0,비대면 본인 확인(1원 송금),비대면 본인 확인(1원 송금),
URI,0,3순위청약증거금환불,3순위청약증거금환불,
URI,0,상여금 입금이체,상여금 입금이체,
URI,0,스쿨뱅킹 출금이체,스쿨뱅킹 출금이체,
URI,0,재정자금전자이체,재정자금전자이체,
URI,0,ISA 적립이체-수신팀,ISA 적립이체-수신팀,
URI,0,역환처리,역환처리,
URI,0,수익증권 업무종료후 입금예약-수신서비스부,수익증권 업무종료후 입금예약-수신서비스부,
URI,0,전자금융 자금집금,전자금융 자금집금,
URI,0,CMS공동망 입금이체,CMS공동망 입금이체,
URI,0,퇴직연금 지급-수신팀,퇴직연금 지급-수신팀,
URI,0,수신해지예약-수신팀,수신해지예약-수신팀,
URI,0,연금지급,연금지급,
URI,0,신탁이자원가,신탁이자원가,
URI,0,전자어음 입금처리 및 수수료출금처리,전자어음 입금처리 및 수수료출금처리,
URI,0,외화적립예금,외화적립예금,
URI,0,특정ELS이자지급-수신서비스부,특정ELS이자지급-수신서비스부,
