,개체명,거래코드,단어,단어의미,단어일련번호,데이터셋출처,분류,분류번호,완료여부,입출금구분,적요,적요 설명,적요구조,적요구조일련번호,적요일련번호,최대금액,최소금액,출처번호,확인용
0,사유,인터넷뱅킹 대량이체,간호간병,간호간병,0.0,우리은행,급여,DA01,1.0,입금,간호간병인센티브,인센티브로 입금된 내역의 적요이다.,자동입력,,1951.0,360000.0,238000.0,F020,3406.0
1,금융용어,인터넷뱅킹 대량이체,인센티브,인센티브,1.0,우리은행,급여,DA01,1.0,입금,간호간병인센티브,인센티브로 입금된 내역의 적요이다.,자동입력,,1951.0,360000.0,238000.0,F020,3406.0
2,사유,급여 입금이체,기본역량,기본역량,0.0,우리은행,급여,DA01,1.0,입금,기본역량인센티브,인센티브로 입금된 내역의 적요이다.,자동입력,,3384.0,500000.0,500000.0,F020,5250.0
3,금융용어,급여 입금이체,인센티브,인센티브,1.0,우리은행,급여,DA01,1.0,입금,기본역량인센티브,인센티브로 입금된 내역의 적요이다.,자동입력,,3384.0,500000.0,500000.0,F020,5250.0
4,사유,인터넷뱅킹 대량이체,남양안전,남양안전,0.0,우리은행,급여,DA01,1.0,입금,남양안전인센티브,인센티브로 입금된 내역의 적요이다.,자동입력,,3652.0,706000.0,520000.0,F020,5780.0
5,금융용어,인터넷뱅킹 대량이체,인센티브,인센티브,1.0,우리은행,급여,DA01,1.0,입금,남양안전인센티브,인센티브로 입금된 내역의 적요이다.,자동입력,,3652.0,706000.0,520000.0,F020,5780.0
6,사유,급여 입금이체,논문,논문,0.0,우리은행,급여,DA01,1.0,입금,논문인센티브,인센티브로 입금된 내역의 적요이다.,자동입력,,3729.0,1472000.0,1472000.0,F020,5882.0
7,금융용어,급여 입금이체,인센티브,인센티브,1.0,우리은행,급여,DA01,1.0,입금,논문인센티브,인센티브로 입금된 내역의 적요이다.,자동입력,,3729.0,1472000.0,1472000.0,F020,5882.0
8,사유,인터넷뱅킹 대량이체,동성계전　,동성계전　,0.0,우리은행,급여,DA01,1.0,입금,동성계전　인센티브,인센티브로 입금된 내역의 적요이다.,자동입력,,4909.0,622000.0,622000.0,F020,7191.0
9,금융용어,인터넷뱅킹 대량이체,인센티브,인센티브,1.0,우리은행,급여,DA01,1.0,입금,동성계전　인센티브,인센티브로 입금된 내역의 적요이다.,자동입력,,4909.0,622000.0,622000.0,F020,7191.0
10,사유,인터넷뱅킹 대량이체,드래곤　,드래곤　,0.0,우리은행,급여,DA01,1.0,입금,드래곤　인센티브,인센티브로 입금된 내역의 적요이다.,자동입력,,5031.0,9790000.0,9790000.0,F020,7336.0
11,금융용어,인터넷뱅킹 대량이체,인센티브,인센티브,1.0,우리은행,급여,DA01,1.0,입금,드래곤　인센티브,인센티브로 입금된 내역의 적요이다.,자동입력,,5031.0,9790000.0,9790000.0,F020,7336.0
12,사유,급여 입금이체,디딤   급여,디딤   급여,0.0,우리은행,급여,DA01,1.0,입금,디딤   급여인센티브,인센티브로 입금된 내역의 적요이다.,자동입력,,5045.0,1361000.0,1361000.0,F020,7353.0
13,금융용어,급여 입금이체,인센티브,인센티브,1.0,우리은행,급여,DA01,1.0,입금,디딤   급여인센티브,인센티브로 입금된 내역의 적요이다.,자동입력,,5045.0,1361000.0,1361000.0,F020,7353.0
14,사유,인터넷뱅킹 대량이체,라이온,라이온,0.0,우리은행,급여,DA01,1.0,입금,라이온인센티브,인센티브로 입금된 내역의 적요이다.,자동입력,,5110.0,17554000.0,7010000.0,F020,7429.0
15,금융용어,인터넷뱅킹 대량이체,인센티브,인센티브,1.0,우리은행,급여,DA01,1.0,입금,라이온인센티브,인센티브로 입금된 내역의 적요이다.,자동입력,,5110.0,17554000.0,7010000.0,F020,7429.0
16,사유,인터넷뱅킹 대량이체,무재해　,무재해　,0.0,우리은행,급여,DA01,1.0,입금,무재해　인센티브,인센티브로 입금된 내역의 적요이다.,자동입력,,5424.0,699000.0,699000.0,F020,7846.0
